date,all time high,all time high year,lowest high,lowest high year,highest low,highest low year,all time low,all time low year
08-20,98.0,2019,65.0,2004,67.0,1973,48.0,1967
08-21,98.0,2019,64.0,1951,65.0,2013,45.0,1974
08-22,98.0,1960,68.0,1987,69.0,1960,42.0,1964
08-23,97.0,2003,64.0,1987,66.0,1980,41.0,1964
08-24,98.0,2020,58.0,1992,64.0,1973,42.0,1968
08-25,96.0,2020,68.0,2016,65.0,2020,44.0,1975
08-26,97.0,2020,67.0,1987,68.0,2020,47.0,2016
08-27,98.0,1994,70.0,2006,66.0,1994,48.0,1964
08-28,96.0,2012,55.0,2004,64.0,1997,44.0,1962
08-29,96.0,2012,59.0,1968,66.0,1948,43.0,2004
08-30,98.0,1990,62.0,1993,64.0,2013,42.0,1968
08-31,98.0,1960,65.0,1967,66.0,1985,43.0,1962
09-01,97.0,1995,57.0,1972,65.0,1954,44.0,1962
09-02,97.0,2019,52.0,1974,65.0,1995,40.0,1952
09-03,98.0,2019,46.0,1961,62.0,1995,33.0,1961
09-04,98.0,2017,53.0,1961,66.0,2013,40.0,1961
09-05,96.0,2017,56.0,1956,63.0,2013,38.0,1962
09-06,99.0,2020,51.0,2008,65.0,2019,40.0,2011
09-07,97.0,2020,55.0,1995,62.0,1979,44.0,1956
09-08,95.0,2002,54.0,1976,63.0,2002,31.0,1962
09-09,94.0,1994,37.0,2020,63.0,1994,31.0,1962
09-10,93.0,1994,41.0,2020,65.0,2005,32.0,2020
09-11,92.0,2017,41.0,1989,61.0,1981,36.0,1974
09-12,93.0,1958,40.0,1989,62.0,2013,33.0,1989
09-13,96.0,1990,48.0,2014,61.0,2013,33.0,1993
09-14,95.0,2018,53.0,2003,60.0,2013,32.0,1993
09-15,91.0,2018,55.0,1973,61.0,1992,34.0,2003
09-16,93.0,2018,48.0,1971,58.0,1992,30.0,1965
09-17,95.0,2018,35.0,1971,61.0,2019,30.0,1965
09-18,94.0,2000,40.0,1971,57.0,2000,23.0,1971
09-19,93.0,1980,46.0,1965,58.0,1980,20.0,1971
09-20,94.0,2010,45.0,1965,64.0,2004,28.0,1983
09-21,93.0,2010,37.0,1995,58.0,2016,28.0,1983
09-22,92.0,2017,44.0,2004,56.0,2005,29.0,1995
09-23,89.0,1992,43.0,1965,56.0,2014,32.0,1985
09-24,90.0,2016,40.0,2000,56.0,2018,30.0,2000
09-25,91.0,1998,46.0,1970,56.0,2020,29.0,1961
09-26,90.0,2014,46.0,1996,60.0,1948,30.0,1985
09-27,92.0,1953,49.0,1976,56.0,1983,28.0,1996
09-28,89.0,2015,34.0,1984,58.0,1956,21.0,1985
09-29,91.0,2010,29.0,1985,61.0,1981,17.0,1985
09-30,90.0,1980,36.0,1959,56.0,1994,25.0,1985
10-01,86.0,2009,37.0,1959,54.0,2015,27.0,1985
10-02,87.0,2005,42.0,1959,56.0,1957,30.0,1959
10-03,88.0,2005,42.0,1986,60.0,1954,30.0,2009
10-04,88.0,1997,35.0,1969,53.0,1957,29.0,1969
10-05,86.0,1990,44.0,1969,52.0,1956,20.0,1969
10-06,87.0,1975,41.0,2012,51.0,2017,28.0,2001
10-07,86.0,2020,38.0,1970,54.0,1975,23.0,1970
10-08,84.0,1960,39.0,1990,55.0,2010,22.0,1970
10-09,84.0,2020,35.0,2009,55.0,1954,25.0,1970
10-10,87.0,2003,34.0,2017,51.0,1956,17.0,2009
10-11,86.0,2015,25.0,2009,53.0,1996,14.0,2019
10-12,87.0,1991,24.0,1969,51.0,1956,10.0,1969
10-13,87.0,2003,26.0,1969,50.0,1950,3.0,1969
10-14,85.0,1962,36.0,1969,49.0,1996,4.0,1969
10-15,87.0,2016,27.0,2018,53.0,1950,19.0,2018
10-16,89.0,1991,33.0,1969,49.0,1950,15.0,1969
10-17,88.0,2016,34.0,1999,49.0,1988,18.0,1969
10-18,84.0,1958,37.0,1969,50.0,1950,21.0,1999
10-19,84.0,2003,39.0,1984,52.0,1979,19.0,1964
10-20,86.0,2003,35.0,1984,49.0,1963,25.0,1976
10-21,83.0,2003,29.0,1984,47.0,2015,23.0,2006
10-22,84.0,2003,34.0,1984,49.0,1992,21.0,1951
10-23,87.0,1973,40.0,1975,44.0,1985,21.0,2020
10-24,88.0,2003,31.0,2002,49.0,2003,18.0,1997
10-25,82.0,2014,24.0,1997,46.0,1982,11.0,1997
10-26,84.0,2017,16.0,2020,45.0,2017,7.0,1997
10-27,82.0,1999,18.0,2020,46.0,1994,8.0,2020
10-28,85.0,2016,26.0,2019,45.0,1998,11.0,2020
10-29,84.0,1950,25.0,1971,49.0,2016,7.0,1991
10-30,83.0,2003,19.0,2019,49.0,1950,6.0,2019
10-31,79.0,2016,20.0,2002,47.0,1987,6.0,2019
11-01,80.0,2016,20.0,2002,45.0,2016,-6.0,1951
11-02,76.0,1984,19.0,1991,44.0,2008,-6.0,1951
11-03,79.0,2020,30.0,1967,46.0,2008,5.0,1991
11-04,77.0,2020,30.0,1973,50.0,2015,10.0,1967
11-05,77.0,2020,29.0,1959,46.0,2020,11.0,1959
11-06,78.0,2020,33.0,1990,44.0,2020,14.0,1971
11-07,77.0,2010,29.0,1990,46.0,1980,12.0,1971
11-08,79.0,1999,29.0,1948,50.0,2020,13.0,1948
11-09,81.0,2006,17.0,1950,44.0,1999,-8.0,1950
11-10,78.0,2019,19.0,1985,42.0,1958,-8.0,1950
11-11,76.0,1989,24.0,1985,45.0,2007,13.0,2014
11-12,76.0,1989,16.0,2014,43.0,1971,0.0,2014
11-13,75.0,1999,5.0,2014,40.0,1981,-10.0,2014
11-14,79.0,1990,10.0,2014,42.0,1981,-5.0,2014
11-15,75.0,1998,26.0,1964,40.0,2016,3.0,1997
11-16,76.0,2016,17.0,2014,47.0,2016,-4.0,1955
11-17,80.0,2016,22.0,1955,40.0,1953,1.0,2014
11-18,76.0,1999,27.0,1962,46.0,1999,3.0,1961
11-19,79.0,1989,26.0,1953,44.0,1989,-2.0,1961
11-20,78.0,2007,24.0,1978,39.0,1990,1.0,1975
11-21,73.0,1974,24.0,1979,43.0,2017,5.0,1985
11-22,74.0,1998,16.0,1985,38.0,2016,5.0,1985
11-23,73.0,2002,23.0,1952,38.0,1990,-3.0,2003
11-24,74.0,1990,9.0,1993,46.0,1990,-8.0,1993
11-25,77.0,1990,18.0,1993,41.0,1990,-7.0,1952
11-26,72.0,1998,15.0,1952,41.0,1954,-6.0,1952
11-27,76.0,2017,14.0,1976,40.0,1949,-5.0,1952
11-28,79.0,2017,19.0,2015,39.0,1949,-6.0,1952
11-29,67.0,2014,23.0,2015,40.0,2014,0.0,1972
11-30,72.0,2003,17.0,1985,40.0,1970,-7.0,1983
12-01,73.0,1998,7.0,1985,43.0,1972,-6.0,1985
12-02,72.0,1998,13.0,1985,38.0,1958,1.0,1991
12-03,69.0,2008,18.0,2009,39.0,1958,3.0,2006
12-04,71.0,2017,17.0,2009,38.0,1979,2.0,1955
12-05,72.0,2007,6.0,1972,39.0,1989,-15.0,1972
12-06,71.0,2012,3.0,1972,43.0,2012,-17.0,1972
12-07,68.0,1984,6.0,1978,36.0,1981,-8.0,2013
12-08,69.0,1996,7.0,2005,39.0,2008,-10.0,1978
12-09,71.0,1957,6.0,1972,39.0,1996,-14.0,1972
12-10,68.0,2020,3.0,1961,38.0,2015,-18.0,1972
12-11,68.0,1990,6.0,1961,42.0,1950,-11.0,1963
12-12,71.0,2004,12.0,2000,38.0,1993,-12.0,1961
12-13,71.0,2017,14.0,1963,34.0,1988,-12.0,1961
12-14,67.0,1969,19.0,1951,35.0,1977,-10.0,1963
12-15,67.0,2010,3.0,2008,40.0,2006,-15.0,2008
12-16,70.0,1980,1.0,2008,35.0,2006,-13.0,2008
12-17,73.0,1980,13.0,1996,41.0,1980,-8.0,1964
12-18,66.0,1979,1.0,2016,33.0,1979,-15.0,2016
12-19,68.0,2013,8.0,1998,31.0,1953,-10.0,1989
