"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-11",,"43","33",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-12",,"63","32",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-13",,"74","39",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-14",,"68","44",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-15",,"67","48",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-16",,"57","46","53"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-17",,"65","47",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-18",,"60","45",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-19",,"72","42",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-20",,"84","46",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-21",,"79","53",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-22",,"65","45",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-23",,"75","48",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-24",,"72","39",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-25",,"74","46",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-26",,"76","57",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-27",,"73","51",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-28",,"82","49",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-29",,,"49",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-30",,"59","48",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-31",,"60","47",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-01",,"71","42",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-02",,"74","47",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-03",,"81","50",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-04",,"87","54",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-05",,"92","55",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-06",,"89","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-07",,"93","54",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-08",,"95","56",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-09",,"91","58","75"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-10",,"99","62",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-11",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-12",,"94","51",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-13",,"95","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-14",,"100","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-15",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-16",,"100","65",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-17",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-18",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-19",,"88","62",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-20",,"83","57",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-21",,"74","52",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-22",,"93","54",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-23",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-24",,"85","64",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-25",,"82","57",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-26",,"71","55",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-27",,"73","56",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-28",,"74","51",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-29",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-06-30",,"86","55",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-01",,"82","61",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-02",,"88","56",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-03",,"93","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-04",,"92","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-05",,"92","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-06",,"83","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-07",,"91","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-08",,"102","71",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-09",,,"66",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-10",,"84","65",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-11",,"88","56",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-12",,"91","58",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-13",,"87","66",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-14",,"76","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-15",,"87","53",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-16",,"93","57",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-17",,"95","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-18",,"92","61",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-19",,"94","62",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-20",,"96","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-21",,"92","65",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-22",,"98","66",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-23",,"94","66",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-24",,"87","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-25",,"93","64",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-26",,"94","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-27",,"96","60",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-28",,"98","67",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-29",,"95","66",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-30",,"93","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-07-31",,"75","62",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-01",,"82","61",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-02",,"89","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-03",,"84","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-04",,"83","62",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-05",,"92","56",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-06",,,,
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-07",,"82","58",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-08",,"93","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-09",,"97","63",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-10",,"96","59",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-11",,"96","61",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-12",,"86","61",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-08-13",,,,
