"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-16",,,"0.00","0.0","0.0",,"79","51","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-17",,,"0.00","0.0","0.0",,"73","53","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-18",,,"0.00","0.0","0.0",,"77","53","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-19",,,"0.00","0.0","0.0",,"66","52","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-20",,,"0.00","0.0","0.0",,"58","52","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-21",,,"0.00","0.0","0.0",,"65","52","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-22",,,"0.00","0.0","0.0",,"67","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-23",,,"0.00","0.0","0.0",,"67","51","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-24",,,"0.00","0.0","0.0",,"70","53","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-25",,,"0.00","0.0","0.0",,"69","54","60"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-26",,,"0.00","0.0","0.0",,"70","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-27",,,"0.00","0.0","0.0",,"81","50","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-28",,,"0.00","0.0","0.0",,"93","56","63"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-29",,,"0.00","0.0","0.0",,"90","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-30",,,"0.00","0.0","0.0",,"78","54","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-01",,,"0.00","0.0","0.0",,"75","53","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-02",,,"0.04","0.0","0.0",,"65","53","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-03",,,"0.15","0.0","0.0",,"63","54","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-04",,,"0.00","0.0","0.0",,"66","54","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-05",,,"0.00","0.0","0.0",,"69","54","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-06",,,"0.00","0.0","0.0",,"68","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-07",,,"0.00","0.0","0.0",,"69","52","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-08",,,"0.00","0.0","0.0",,"68","53","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-09",,,"0.00","0.0","0.0",,"68","55","58"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-10",,,"0.00","0.0","0.0",,"72","54","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-11",,,"0.00","0.0","0.0",,"82","52","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-12",,,"0.00","0.0","0.0",,"70","54","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-13",,,"0.00","0.0","0.0",,"67","56","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-14",,,"0.00","0.0","0.0",,"68","55","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-15",,,"0.00","0.0","0.0",,"74","55","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-16",,,"0.00","0.0","0.0",,"86","55","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-17",,,"0.00","0.0","0.0",,"76","54","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-18",,,"0.00","0.0","0.0",,"76","54","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-19",,,"0.00","0.0","0.0",,"73","54","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-20",,,"0.00","0.0","0.0",,"74","55","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-21",,,"0.00","0.0","0.0",,"74","54","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-22",,,"0.00","0.0","0.0",,"75","55","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-23",,,"0.00","0.0","0.0",,"77","55","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-24",,,"0.00","0.0","0.0",,"76","56","58"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-25",,,"0.00","0.0","0.0",,"83","54","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-26",,,"0.00","0.0","0.0",,"90","55","59"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-27",,,"0.00","0.0","0.0",,"84","58","59"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-28",,,"0.00","0.0","0.0",,"89","59","60"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-29",,,"0.00","0.0","0.0",,"88","57","57"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-30",,,"0.00","0.0","0.0",,"89","57","60"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-07-31",,,"0.00","0.0","0.0",,"83","60","65"
